Quận/Huyện,Phường/Xã,Loại hình nhà ở,Giấy tờ pháp lý,Số tầng,Số phòng ngủ (phòng),Dài (m),Rộng (m),Giá/m2 (triệu/m²)
Quận Bắc Từ Liêm,Phường Minh Khai,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,10,4,100
Quận Thanh Xuân,Phường Khương Đình,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,5,8,72.5
Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,4,3,8,4.9,101.67
Quận Hoàng Mai,Phường Hoàng Liệt,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,4,68.24
Quận Ba Đình,Phường Phúc Xá,"Nhà mặt phố, mặt tiền",Đã có sổ,3,4,15,3.3,103
Quận Nam Từ Liêm,Phường Mễ Trì,"Nhà ngõ, hẻm",Đã có sổ,5,3,9,3.6,81.82
Quận Hà Đông,Phường Phú Lãm,"Nhà ngõ, hẻm",Đã có sổ,3,3,8,4,49.39
Quận Hoàng Mai,Phường Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,5,4,9,3.5,100
Quận Hà Đông,Phường Dương Nội,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,11,3.5,59.74
Quận Long Biên,Phường Ngọc Thụy,"Nhà ngõ, hẻm",Đã có sổ,4,4,1.09,3.14,75.81
Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,5,5,9,4,100
Quận Hà Đông,Phường Nguyễn Trãi,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,10,4,73.68
Quận Hà Đông,Phường Mộ Lao,"Nhà ngõ, hẻm",Đã có sổ,5,4,7.8,4,93.23
Quận Hà Đông,Phường Hà Cầu,"Nhà mặt phố, mặt tiền",Đã có sổ,4,5,9,4,72.22
Quận Hai Bà Trưng,Phường Quỳnh Mai,"Nhà ngõ, hẻm",Đã có sổ,5,4,10.5,3.8,85
Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,5,4,8.2,3.9,95.71
Quận Hoàng Mai,Phường Thanh Trì,"Nhà ngõ, hẻm",Đã có sổ,5,4,10,4,62.5
Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,5,4,8,4,73.44
Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,3,3,10,3.3,72.73
Quận Ba Đình,Phường Vĩnh Phúc,"Nhà ngõ, hẻm",Đã có sổ,4,4,11.5,4,145
Quận Bắc Từ Liêm,Phường Xuân Đỉnh,"Nhà ngõ, hẻm",Đã có sổ,6,4,9,4.5,80
Quận Cầu Giấy,Phường Nghĩa Tân,"Nhà ngõ, hẻm",Đã có sổ,5,5,17,3.7,176.92
Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,5,3,9,4,84.29
Quận Đống Đa,Phường Khâm Thiên,"Nhà ngõ, hẻm",Đã có sổ,4,3,11,2.1,81.82
Quận Thanh Xuân,Phường Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,5,3,10,5,190
Quận Nam Từ Liêm,Phường Phương Canh,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,5.4,5.8,79.03
Quận Hà Đông,Phường La Khê,Nhà phố liền kề,Đã có sổ,5,3,12,4,102.88
Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,5,4,11,4,86.05
Quận Thanh Xuân,Phường Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,5,4,6,6,117.14
Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,5,4,10,3.5,125
Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,5,3,9,4,95
Quận Đống Đa,Phường Hàng Bột,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,5,6,131.67
Quận Hoàng Mai,Phường Lĩnh Nam,"Nhà mặt phố, mặt tiền",Đã có sổ,1,1,10,3.5,58.92
Quận Long Biên,Phường Đức Giang,"Nhà ngõ, hẻm",Đã có sổ,2,2,10,4,62.5
Quận Cầu Giấy,Phường Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,5,6,13,4,121.74
Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,10,3.4,49.41
Quận Cầu Giấy,Phường Dịch Vọng,"Nhà ngõ, hẻm",Đã có sổ,5,6,20.3,3.5,147.89
Quận Hoàng Mai,Phường Vĩnh Hưng,"Nhà ngõ, hẻm",Đã có sổ,5,4,8,5,53.75
Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,4,12,5,158.33
Quận Cầu Giấy,Phường Dịch Vọng Hậu,"Nhà ngõ, hẻm",Đã có sổ,5,5,10.5,4.8,86
Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,4,8,5,91.25
Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,5,4,13,4,100
Quận Long Biên,Phường Bồ Đề,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,12,4,102.13
Quận Đống Đa,Phường Láng Thượng,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6,16,4,128.23
Huyện Mê Linh,Thị trấn Quang Minh,Nhà biệt thự,Đã có sổ,3,7,42,9,10.75
Huyện Hoài Đức,Xã Đông La,"Nhà ngõ, hẻm",Đã có sổ,3,3,10,3.4,38.82
Quận Hai Bà Trưng,Phường Thanh Lương,"Nhà ngõ, hẻm",Đã có sổ,4,4,9.5,4,75
Quận Hà Đông,Phường Đồng Mai,"Nhà ngõ, hẻm",Đã có sổ,3,3,8.8,3.6,37.19
Quận Cầu Giấy,Phường Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,3,2,11,3,80
Quận Hoàng Mai,Phường Định Công,"Nhà ngõ, hẻm",Đã có sổ,5,4,13,3.5,71.74
Quận Tây Hồ,Phường Quảng An,Nhà biệt thự,Đã có sổ,7,11,14,5.5,225
Quận Hoàng Mai,Phường Đại Kim,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,9,5,115.56
Quận Hà Đông,Phường Văn Quán,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,9,4,72.22
Quận Hoàng Mai,Phường Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,4,4,12,3.9,93.62
Quận Thanh Xuân,Phường Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,5,4,12,3.6,100
Quận Thanh Xuân,Phường Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,4,4,12,3.6,100
Quận Hà Đông,Phường Kiến Hưng,"Nhà ngõ, hẻm",Đã có sổ,2,2,10,3.5,50
Quận Đống Đa,Phường Văn Chương,"Nhà ngõ, hẻm",Đã có sổ,4,4,35,35,68.57
Quận Hà Đông,Phường Phú Lãm,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,3.5,49.14
Quận Cầu Giấy,Phường Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,4,2,10,3.2,100
Quận Thanh Xuân,Phường Khương Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,10,5,120
Quận Đống Đa,Phường Phương Mai,"Nhà ngõ, hẻm",Đã có sổ,3,2,11,3.1,96.97
Quận Thanh Xuân,Phường Thanh Xuân Trung,"Nhà ngõ, hẻm",Đã có sổ,5,3,9,3.5,93.75
Quận Hai Bà Trưng,Phường Thanh Lương,"Nhà ngõ, hẻm",Đã có sổ,5,5,13,4,58.49
Quận Hoàng Mai,Phường Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,5,3,8,4,97.06
Quận Thanh Xuân,Phường Thanh Xuân Trung,"Nhà ngõ, hẻm",Đã có sổ,6,4,10,4.2,120
Quận Hai Bà Trưng,Phường Thanh Nhàn,"Nhà mặt phố, mặt tiền",Đã có sổ,6,6,13,5,169.23
Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,3.8,51.84
Quận Hoàng Mai,Phường Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,5,4,10,5,76
Quận Bắc Từ Liêm,Phường Xuân Đỉnh,"Nhà ngõ, hẻm",Đã có sổ,5,5,10,4,81.82
Quận Hà Đông,Phường La Khê,Nhà phố liền kề,Đã có sổ,4,4,16.5,5,83.54
Quận Thanh Xuân,Phường Thanh Xuân Trung,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,4,100
Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,10,3.4,51.47
Huyện Thanh Trì,Xã Tân Triều,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,4,100
Quận Đống Đa,Phường Văn Chương,"Nhà ngõ, hẻm",Đã có sổ,5,3,9,4,77.14
Quận Hai Bà Trưng,Phường Trương Định,"Nhà ngõ, hẻm",Đã có sổ,4,4,11,3.8,70.93
Quận Đống Đa,Phường Trung Tự,"Nhà ngõ, hẻm",Đã có sổ,4,4,12,4,76.09
Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,4,4,10.3,3.3,69.7
Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,3,3,5.5,5.5,93.33
Quận Hai Bà Trưng,Phường Trương Định,"Nhà ngõ, hẻm",Đã có sổ,3,3,16,4,52.31
Quận Thanh Xuân,Phường Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,4,4,13,3.8,103.77
Quận Đống Đa,Phường Quang Trung,"Nhà ngõ, hẻm",Đã có sổ,4,3,5,4,97.22
Quận Đống Đa,Phường Phương Liên,"Nhà ngõ, hẻm",Đã có sổ,5,3,10,4.6,100
Quận Hoàng Mai,Phường Đại Kim,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,9.5,4,81.08
Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,4,4,8.6,3.5,60.94
Quận Đống Đa,Phường Thịnh Quang,"Nhà ngõ, hẻm",Đã có sổ,6,3,9,4,181.25
Quận Hoàn Kiếm,Phường Phan Chu Trinh,"Nhà ngõ, hẻm",Đã có sổ,1,2,8,5,125
Quận Hoàng Mai,Phường Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,5,3,9,3.6,80
Huyện Thường Tín,Xã Khánh Hà,"Nhà ngõ, hẻm",Đã có sổ,4,4,25,7.92,28.06
Quận Hai Bà Trưng,Phường Bạch Mai,"Nhà ngõ, hẻm",Đã có sổ,6,5,10,3.5,90.91
Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,5,4,8,4,69.7
Quận Thanh Xuân,Phường Khương Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,7,4,10,5,204
Quận Long Biên,Phường Thượng Thanh,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,16,4,85.94
Quận Nam Từ Liêm,Phường Mỹ Đình 1,"Nhà ngõ, hẻm",Đã có sổ,5,3,35,35,88.57
Quận Cầu Giấy,Phường Nghĩa Tân,"Nhà mặt phố, mặt tiền",Đã có sổ,7,11,18,4,242.857
Quận Hoàng Mai,Phường Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,5,3,9,3.6,80
Quận Hà Đông,Phường Quang Trung,"Nhà ngõ, hẻm",Đã có sổ,5,6,13.4,3.5,98.94
Quận Thanh Xuân,Phường Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,5,4,10,4,107.5
Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà mặt phố, mặt tiền",Đã có sổ,8,6,18,4.5,575
Quận Hai Bà Trưng,Phường Cầu Dền,"Nhà ngõ, hẻm",Đã có sổ,4,2,7,3.1,88
Quận Hoàng Mai,Phường Mai Động,"Nhà ngõ, hẻm",Đã có sổ,4,3,9,4.2,73.68
Quận Thanh Xuân,Phường Khương Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,4,5,17,4,125.74
Quận Hà Đông,Phường Dương Nội,"Nhà ngõ, hẻm",Đã có sổ,5,3,9,35,63.33
Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,3,3,11,3,34.5
Quận Hà Đông,Phường Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,4,4,12,5,53.87
Quận Hai Bà Trưng,Phường Bách Khoa,"Nhà ngõ, hẻm",Đã có sổ,5,3,9,3.5,90
Quận Đống Đa,Phường Trung Phụng,"Nhà ngõ, hẻm",Đã có sổ,4,3,5,5,100
Quận Cầu Giấy,Phường Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,5,3,9,4,102.86
Quận Cầu Giấy,Phường Dịch Vọng,"Nhà ngõ, hẻm",Đã có sổ,4,4,13.5,4,139.29
Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,4,4,9.5,4.1,88.16
Quận Đống Đa,Phường Trung Tự,"Nhà ngõ, hẻm",Đã có sổ,5,4,8,5,90
Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,35,40
Quận Hoàng Mai,Phường Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,4,3,7,3,115
Quận Tây Hồ,Phường Phú Thượng,"Nhà ngõ, hẻm",Đã có sổ,4,2,8,3,50
Quận Tây Hồ,Phường Nhật Tân,"Nhà mặt phố, mặt tiền",Đã có sổ,4,6,14.7,10,170.07
Quận Hai Bà Trưng,Phường Vĩnh Tuy,"Nhà ngõ, hẻm",Đã có sổ,4,3,7,5,80
Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,5,3,8,3,74
Quận Cầu Giấy,Phường Dịch Vọng,"Nhà ngõ, hẻm",Đã có sổ,4,3,8,3.6,93.75
Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,4,4,9,4,75.71
Quận Thanh Xuân,Phường Khương Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,10,3.4,105.59
Quận Hai Bà Trưng,Phường Vĩnh Tuy,"Nhà ngõ, hẻm",Đã có sổ,5,3,8,4,127.42
Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,3,3,12,3.6,100.54
Quận Long Biên,Phường Thạch Bàn,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6,15,5,104
Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,4,3,11,4,65.91
Quận Đống Đa,Phường Văn Chương,"Nhà ngõ, hẻm",Đã có sổ,4,3,10.18,3.48,73.61
Quận Đống Đa,Phường Khương Thượng,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,6,5,131.67
Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,3,3,8.6,3.6,39.06
Quận Thanh Xuân,Phường Khương Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,9,4.5,173.17
Huyện Thanh Trì,Xã Vĩnh Quỳnh,"Nhà ngõ, hẻm",Đã có sổ,3,3,9.59,4.9,45.74
Quận Hoàng Mai,Phường Thịnh Liệt,"Nhà ngõ, hẻm",Đã có sổ,3,3,11,4,81.4
Quận Hoàng Mai,Phường Yên Sở,"Nhà ngõ, hẻm",Đã có sổ,4,3,8,6,61.11
Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,5,3,9,3.6,3.29
Quận Đống Đa,Phường Quang Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,10,6,64.67
Quận Long Biên,Phường Long Biên,"Nhà ngõ, hẻm",Đã có sổ,3,3,10.5,4.5,1.13
Quận Hoàng Mai,Phường Định Công,"Nhà ngõ, hẻm",Đã có sổ,5,5,10,3.5,100
Quận Nam Từ Liêm,Phường Phú Đô,"Nhà ngõ, hẻm",Đã có sổ,5,3,10,3,98.44
Quận Hoàng Mai,Phường Thịnh Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,3,8.5,4,88.57
Quận Hoàng Mai,Phường Vĩnh Hưng,"Nhà ngõ, hẻm",Đã có sổ,3,3,11,4,60.23
Quận Long Biên,Phường Phúc Lợi,"Nhà ngõ, hẻm",Đã có sổ,5,2,4,3.3,55.26
Huyện Thanh Trì,Xã Tân Triều,"Nhà ngõ, hẻm",Đã có sổ,5,3,8,4,80
Quận Đống Đa,Phường Kim Liên,"Nhà ngõ, hẻm",Đã có sổ,3,2,6.5,3.8,79.6
Quận Đống Đa,Phường Trung Liệt,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,9,5,80
Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,5,5,8,5,66.25
Quận Đống Đa,Phường Văn Miếu,"Nhà mặt phố, mặt tiền",Đã có sổ,9,5,6.8,10.6,378.57
Quận Đống Đa,Phường Kim Liên,"Nhà ngõ, hẻm",Đã có sổ,5,3,12,4,124.24
Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,5,3,7,6,144.05
Quận Hai Bà Trưng,Phường Minh Khai,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6,13.5,3,120
Quận Tây Hồ,Phường Nhật Tân,"Nhà ngõ, hẻm",Đã có sổ,5,4,12,3,71.62
Quận Tây Hồ,Phường Xuân La,"Nhà ngõ, hẻm",Đã có sổ,5,6,19,4.2,131.25
Quận Tây Hồ,Phường Xuân La,"Nhà mặt phố, mặt tiền",Đã có sổ,3,3,20,11,250
Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,5,4,12,3,76.39
Quận Hà Đông,Phường Đồng Mai,"Nhà ngõ, hẻm",Đã có sổ,3,3,8,4,39.06
Quận Ba Đình,Phường Cống Vị,"Nhà ngõ, hẻm",Đã có sổ,3,3,6,6,119.7
Quận Hà Đông,Phường Kiến Hưng,"Nhà ngõ, hẻm",Đã có sổ,5,4,8,6,89.47
Quận Đống Đa,Phường Láng Thượng,"Nhà ngõ, hẻm",Đã có sổ,4,4,11,4.5,98
Quận Hà Đông,Phường Phú Lương,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,3.9,41.03
Quận Đống Đa,Phường Văn Miếu,"Nhà ngõ, hẻm",Đã có sổ,2,3,10,5,70
Quận Đống Đa,Phường Thịnh Quang,"Nhà ngõ, hẻm",Đã có sổ,6,3,9,4.2,165.71
Quận Nam Từ Liêm,Phường Mỹ Đình 1,Nhà biệt thự,Đã có sổ,4,5,12,11.9,875.912
Huyện Thanh Trì,Xã Tả Thanh Oai,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,4,42
Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,5,6,10,3.5,100
Quận Ba Đình,Phường Cống Vị,"Nhà mặt phố, mặt tiền",Đã có sổ,3,3,13.33,3,78.75
Quận Long Biên,Phường Sài Đồng,"Nhà ngõ, hẻm",Đã có sổ,1,1,5.95,5.6,57.5
Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,5,8,12,6,75.76
Quận Tây Hồ,Phường Phú Thượng,"Nhà mặt phố, mặt tiền",Đã có sổ,6,4,11,6,177.97
Quận Bắc Từ Liêm,Phường Cổ Nhuế 1,"Nhà mặt phố, mặt tiền",Đã có sổ,1,1,12,5,108.93
Quận Đống Đa,Phường Láng Hạ,Nhà phố liền kề,Đã có sổ,3,3,14,4,104.55
Quận Thanh Xuân,Phường Khương Đình,"Nhà mặt phố, mặt tiền",Đã có sổ,4,6,15,4,150
Quận Hai Bà Trưng,Phường Thanh Nhàn,"Nhà ngõ, hẻm",Đã có sổ,4,3,10,3.3,100
Quận Hoàng Mai,Phường Định Công,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,13.5,5,123.48
Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,4,4,8.3,6.3,86.54
Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,5,4,10.9,4.6,140
Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,4,140
Quận Ba Đình,Phường Kim Mã,"Nhà ngõ, hẻm",Đã có sổ,4,4,12,6,253.42
Quận Thanh Xuân,Phường Thanh Xuân Trung,"Nhà ngõ, hẻm",Đã có sổ,5,4,10,4,135
Quận Bắc Từ Liêm,Phường Xuân Đỉnh,"Nhà ngõ, hẻm",Đang chờ sổ,1,1,15,4,13.79
Quận Đống Đa,Phường Quang Trung,"Nhà ngõ, hẻm",Đã có sổ,4,3,9,3.1,118.33
Quận Hà Đông,Phường La Khê,"Nhà mặt phố, mặt tiền",Đã có sổ,7,6,12,4,172
Quận Hoàng Mai,Phường Đại Kim,Nhà biệt thự,Giấy tờ khác,4,5,16,9,147.06
Quận Ba Đình,Phường Phúc Xá,"Nhà ngõ, hẻm",Đã có sổ,7,4,8,5,159.46
Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,10,3.4,51.47
Quận Hai Bà Trưng,Phường Thanh Lương,"Nhà ngõ, hẻm",Đã có sổ,3,3,21,3.6,61.07
Quận Thanh Xuân,Phường Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,4,3,6,4.5,90
Quận Đống Đa,Phường Thịnh Quang,"Nhà ngõ, hẻm",Đã có sổ,4,2,7,4,79.17
Quận Hà Đông,Phường Vạn Phúc,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,13,4,81.73
Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,7,11,9,7,116.67
Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,5,4,9,3.4,71
Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,5,3,9,3.8,73.33
Quận Thanh Xuân,Phường Thanh Xuân Trung,"Nhà ngõ, hẻm",Đã có sổ,4,4,8,4,88.33
Quận Hoàng Mai,Phường Vĩnh Hưng,"Nhà ngõ, hẻm",Đã có sổ,5,4,9,4,91.43
Quận Hai Bà Trưng,Phường Quỳnh Lôi,"Nhà ngõ, hẻm",Đã có sổ,6,6,16,4,120.31
Quận Đống Đa,Phường Văn Chương,"Nhà ngõ, hẻm",Đã có sổ,4,3,9,4,75.68
Quận Bắc Từ Liêm,Phường Xuân Đỉnh,"Nhà ngõ, hẻm",Đã có sổ,5,4,10,35,81.43
Quận Hoàng Mai,Phường Định Công,"Nhà ngõ, hẻm",Đã có sổ,5,3,9,3.5,99.69
Quận Hà Đông,Phường Kiến Hưng,"Nhà ngõ, hẻm",Đã có sổ,5,4,10,3.5,60
Quận Hoàng Mai,Phường Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,4,4,7,5,83.33
Quận Hà Đông,Phường Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,5,3,9,4,83.33
Quận Ba Đình,Phường Kim Mã,"Nhà ngõ, hẻm",Đã có sổ,4,7,20.5,4.5,50
Quận Ba Đình,Phường Vĩnh Phúc,"Nhà ngõ, hẻm",Đã có sổ,4,2,6.3,4,132
Quận Hoàng Mai,Phường Mai Động,"Nhà ngõ, hẻm",Đã có sổ,3,3,10,3.4,57.35
Quận Đống Đa,Phường Ngã Tư Sở,"Nhà ngõ, hẻm",Đã có sổ,5,6,9,4,186.11
Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,2,2,10,6,61.43
Quận Hoàng Mai,Phường Tân Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6,10,5.2,109.62
Quận Hà Đông,Phường Dương Nội,Nhà biệt thự,Giấy tờ khác,4,5,20,9,222.22
Quận Hoàng Mai,Phường Vĩnh Hưng,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6,10,3.5,91.43
Huyện Hoài Đức,Xã Vân Canh,"Nhà ngõ, hẻm",Đã có sổ,4,3,4.76,6.46,71.67
Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,6,4,8,4,142.86
Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,4,4,13,3,76.19
Quận Hoàng Mai,Phường Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,2,2,6,8,39.22
Quận Cầu Giấy,Phường Dịch Vọng,Nhà biệt thự,Đã có sổ,3,5,20,10,162.5
Quận Ba Đình,Phường Ngọc Hà,"Nhà ngõ, hẻm",Đã có sổ,5,5,12,4,105.43
Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,5,4,9.5,3.7,85.29
Quận Thanh Xuân,Phường Thượng Đình,"Nhà ngõ, hẻm",Đã có sổ,5,3,9,3.4,107.41
Quận Cầu Giấy,Phường Dịch Vọng Hậu,"Nhà ngõ, hẻm",Đã có sổ,5,4,15,4.2,70.83
Quận Hai Bà Trưng,Phường Vĩnh Tuy,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,4,68.75
Quận Long Biên,Phường Ngọc Thụy,"Nhà ngõ, hẻm",Đã có sổ,5,3,7.5,4.5,73.44
Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,6,4,7,5,142.86
Quận Thanh Xuân,Phường Phương Liệt,"Nhà mặt phố, mặt tiền",Đã có sổ,6,4,8,5,137.5
Quận Hai Bà Trưng,Phường Bạch Mai,"Nhà ngõ, hẻm",Đã có sổ,4,2,16,3.2,87.5
Quận Cầu Giấy,Phường Quan Hoa,"Nhà ngõ, hẻm",Đã có sổ,5,3,6,4,110
Quận Bắc Từ Liêm,Phường Đông Ngạc,"Nhà ngõ, hẻm",Đã có sổ,1,1,7.5,4.33,43.75
Quận Hà Đông,Phường Phúc La,"Nhà mặt phố, mặt tiền",Đã có sổ,7,6,40,7,256.25
Quận Hà Đông,Phường Kiến Hưng,Nhà phố liền kề,Đã có sổ,6,8,22,6,223.08
Quận Thanh Xuân,Phường Nhân Chính,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,7,4,65
Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,4,5,4,4,75
Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,10,3.2,39.06
Quận Hai Bà Trưng,Phường Quỳnh Lôi,"Nhà ngõ, hẻm",Đã có sổ,4,3,21,3.6,61.07
Quận Cầu Giấy,Phường Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,5,6,7,8,73.08
Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,4,4,9.5,4.2,89.19
Quận Tây Hồ,Phường Thụy Khuê,"Nhà ngõ, hẻm",Đã có sổ,6,3,9,5,102.22
Quận Bắc Từ Liêm,Phường Cổ Nhuế 2,"Nhà ngõ, hẻm",Đã có sổ,5,5,12,3,83.33
Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,4,3,8,4,200
Quận Long Biên,Phường Ngọc Lâm,"Nhà ngõ, hẻm",Đã có sổ,4,3,9.34,3.95,86.49
Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,4,62.5
Quận Đống Đa,Phường Trung Liệt,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,10,5,153
Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,4,4,8,8,103.08
