Quận,Huyện,Loại hình nhà ở,Giấy tờ pháp lý,Số tầng,Số phòng ngủ,Dài,Rộng,Giá/m2
Quận Ba Đình,Phường Thành Công,"Nhà ngõ, hẻm",Đã có sổ,4,2,10,4,85
Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,6,4,10,3.3,9429
Quận Ba Đình,Phường Cống Vị,"Nhà ngõ, hẻm",Đã có sổ,4,3,8,4,13636
Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,5,4,10,4,9359
Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,6,4,10,3.3,9429
Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,6,6,10.1,4.2,140
Quận Cầu Giấy,Phường Nghĩa Đô,"Nhà mặt phố, mặt tiền",Đang chờ sổ,2,2,15,3,7212
Quận Hoàng Mai,Phường Thịnh Liệt,"Nhà mặt phố, mặt tiền",Đã có sổ,6,6,8,8,17031
Quận Hoàn Kiếm,Phường Tràng Tiền,"Nhà ngõ, hẻm",Đã có sổ,4,5,13,3,12889
Quận Hoàng Mai,Phường Thịnh Liệt,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,14,3,9419
Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,5,5,4,4,9194
Quận Hoàng Mai,Phường Định Công,"Nhà ngõ, hẻm",Đã có sổ,5,4,10,4,7065
Quận Thanh Xuân,Phường Khương Mai,"Nhà ngõ, hẻm",Đã có sổ,6,4,9,5,12444
Quận Đống Đa,Phường Hàng Bột,"Nhà ngõ, hẻm",Đã có sổ,3,3,7,5,8919
Quận Hoàng Mai,Phường Yên Sở,"Nhà ngõ, hẻm",Đã có sổ,5,3,6,5,7576
Quận Hoàn Kiếm,Phường Cửa Nam,"Nhà ngõ, hẻm",Đã có sổ,4,3,5,4,220
Quận Đống Đa,Phường Thổ Quan,"Nhà ngõ, hẻm",Đã có sổ,4,3,11,4,9783
Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,5,3,9,4,7917
Quận Đống Đa,Phường Trung Tự,"Nhà ngõ, hẻm",Đã có sổ,4,3,9,6,94
Quận Nam Từ Liêm,Phường Xuân Phương,"Nhà ngõ, hẻm",Đã có sổ,5,4,12,3,7571
Quận Ba Đình,Phường Cống Vị,"Nhà ngõ, hẻm",Đã có sổ,1,1,13,3.5,8375
Huyện Hoài Đức,Xã Đông La,"Nhà ngõ, hẻm",Đã có sổ,3,3,9,4,3889
Quận Đống Đa,Phường Láng Thượng,"Nhà ngõ, hẻm",Đã có sổ,5,4,11,4,16136
Quận Tây Hồ,Phường Xuân La,"Nhà ngõ, hẻm",Đã có sổ,4,5,11,5,8818
Quận Hà Đông,Phường Đồng Mai,"Nhà ngõ, hẻm",Đã có sổ,4,3,10,3.5,3943
Quận Tây Hồ,Phường Bưởi,"Nhà mặt phố, mặt tiền",Đã có sổ,7,7,12,5,21667
Quận Hai Bà Trưng,Phường Quỳnh Lôi,"Nhà ngõ, hẻm",Đã có sổ,4,4,15,4,9778
Quận Hà Đông,Phường Dương Nội,"Nhà ngõ, hẻm",Đã có sổ,4,3,9,35,60
Quận Tây Hồ,Phường Tứ Liên,"Nhà ngõ, hẻm",Đã có sổ,4,4,8.8,5,8068
Quận Nam Từ Liêm,Phường Đại Mỗ,"Nhà ngõ, hẻm",Đã có sổ,4,4,12.8,3.5,6222
Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,10,4,4125
Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,4,7,5,4667
Quận Hà Đông,Phường Kiến Hưng,"Nhà ngõ, hẻm",Đã có sổ,3,3,15,3,4304
Quận Hà Đông,Phường Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,5,4,9,4,7143
Quận Hoàn Kiếm,Phường Chương Dương,"Nhà ngõ, hẻm",Đã có sổ,4,3,10,5,6875
Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,3,3,9,4,46
Quận Thanh Xuân,Phường Thanh Xuân Bắc,"Nhà ngõ, hẻm",Đã có sổ,4,3,6,5,9667
Quận Tây Hồ,Phường Xuân La,"Nhà ngõ, hẻm",Đã có sổ,4,4,15,4,135
Quận Đống Đa,Phường Quốc Tử Giám,"Nhà ngõ, hẻm",Đã có sổ,5,3,5,3,9067
Quận Bắc Từ Liêm,Phường Cổ Nhuế 1,"Nhà ngõ, hẻm",Đã có sổ,5,4,10,4,1075
Quận Cầu Giấy,Phường Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,5,3,10,3,8833
Quận Hai Bà Trưng,Phường Bạch Mai,"Nhà ngõ, hẻm",Đã có sổ,2,3,9.5,3,5862
Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,10,4.2,4146
Quận Bắc Từ Liêm,Phường Xuân Đỉnh,"Nhà ngõ, hẻm",Đã có sổ,3,3,10,4,50
Quận Hai Bà Trưng,Phường Thanh Nhàn,"Nhà ngõ, hẻm",Đã có sổ,3,2,5,3.5,9412
Quận Ba Đình,Phường Vĩnh Phúc,"Nhà ngõ, hẻm",Đã có sổ,5,6,10,5,9896
Quận Hà Đông,Phường Kiến Hưng,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,3,6184
Quận Đống Đa,Phường Trung Liệt,Nhà phố liền kề,Đã có sổ,4,3,6,6,9714
Quận Ba Đình,Phường Vĩnh Phúc,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,12.5,3.7,21087
Quận Đống Đa,Phường Thịnh Quang,"Nhà ngõ, hẻm",Đã có sổ,3,3,8,3,76
Quận Tây Hồ,Phường Yên Phụ,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,4,8696
Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,3,7,4,12419
Quận Bắc Từ Liêm,Phường Phú Diễn,Nhà phố liền kề,Đã có sổ,5,5,8,5,11625
Quận Đống Đa,Phường Khâm Thiên,"Nhà ngõ, hẻm",Đã có sổ,3,3,5,4,94
Quận Hoàng Mai,Phường Hoàng Liệt,"Nhà mặt phố, mặt tiền",Đã có sổ,3,5,16,4,6761
Quận Cầu Giấy,Phường Dịch Vọng,"Nhà ngõ, hẻm",Đã có sổ,5,4,11,4,122
Quận Đống Đa,Phường Khương Thượng,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,8,4,130
Quận Long Biên,Phường Ngọc Thụy,"Nhà ngõ, hẻm",Đã có sổ,5,6,20,4,375
Quận Long Biên,Phường Việt Hưng,"Nhà ngõ, hẻm",Đã có sổ,5,3,10,4,7361
Quận Nam Từ Liêm,Phường Trung Văn,"Nhà ngõ, hẻm",Đã có sổ,4,4,12,4,9282
Quận Cầu Giấy,Phường Mai Dịch,"Nhà mặt phố, mặt tiền",Đã có sổ,3,3,15,3,100
Quận Hà Đông,Phường Quang Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,10,3,10385
Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,4,2,7,5,7429
Quận Ba Đình,Phường Điện Biên,"Nhà mặt phố, mặt tiền",Đã có sổ,8,10,8,8,53333
Quận Long Biên,Phường Thượng Thanh,"Nhà ngõ, hẻm",Đã có sổ,4,3,6,3,7292
Quận Cầu Giấy,Phường Nghĩa Tân,"Nhà ngõ, hẻm",Đã có sổ,4,6,9,4,19024
Quận Thanh Xuân,Phường Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,4,5,9,8,7714
Quận Thanh Xuân,Phường Thanh Xuân Nam,"Nhà ngõ, hẻm",Đã có sổ,4,3,8,3,72
Quận Long Biên,Phường Long Biên,"Nhà ngõ, hẻm",Đã có sổ,3,3,12,3,5833
Quận Hai Bà Trưng,Phường Thanh Lương,"Nhà ngõ, hẻm",Đã có sổ,4,4,11,5,74
Quận Hoàng Mai,Phường Hoàng Liệt,"Nhà ngõ, hẻm",Đã có sổ,4,5,14,5,6761
Quận Hà Đông,Phường Phú La,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,12,3,9625
Quận Hà Đông,Phường Văn Quán,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,12,4,13404
Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,5,5,11,3,7838
Quận Hà Đông,Phường Quang Trung,"Nhà ngõ, hẻm",Đã có sổ,1,1,7,6,4475
Quận Cầu Giấy,Phường Mai Dịch,"Nhà ngõ, hẻm",Đã có sổ,5,6,16,4,1129
Quận Nam Từ Liêm,Phường Mỹ Đình 1,"Nhà ngõ, hẻm",Đã có sổ,6,10,16,4,11328
Quận Hoàng Mai,Phường Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,4,4,9,7,8485
Quận Hai Bà Trưng,Phường Vĩnh Tuy,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,10,3,21667
Quận Cầu Giấy,Phường Dịch Vọng,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,13.5,4,17981
Quận Cầu Giấy,Phường Mai Dịch,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,12,4,86
Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,7,3,7,4,12833
Quận Cầu Giấy,Phường Mai Dịch,"Nhà ngõ, hẻm",Đã có sổ,4,8,19,5,10112
Quận Cầu Giấy,Phường Quan Hoa,"Nhà ngõ, hẻm",Đã có sổ,2,2,13,4,1283
Quận Long Biên,Phường Bồ Đề,"Nhà ngõ, hẻm",Đã có sổ,4,3,4,8,8281
Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,15,3,18889
Quận Nam Từ Liêm,Phường Trung Văn,Nhà biệt thự,Đã có sổ,3,7,10,8,10556
Quận Đống Đa,Phường Thổ Quan,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,7,5,6857
Quận Tây Hồ,Phường Yên Phụ,"Nhà ngõ, hẻm",Đã có sổ,3,3,9,6,4911
Quận Ba Đình,Phường Kim Mã,"Nhà ngõ, hẻm",Đã có sổ,5,6,9,7,14167
Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,4,80
Quận Tây Hồ,Phường Thụy Khuê,"Nhà ngõ, hẻm",Đã có sổ,4,4,20,6,7083
Quận Hà Đông,Phường Nguyễn Trãi,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,10,4,7857
Quận Nam Từ Liêm,Phường Mỹ Đình 2,"Nhà ngõ, hẻm",Đã có sổ,5,5,12,5,12319
Quận Tây Hồ,Phường Nhật Tân,"Nhà ngõ, hẻm",Đã có sổ,5,3,9,5,7955
Quận Ba Đình,Phường Liễu Giai,"Nhà ngõ, hẻm",Đã có sổ,4,5,14,5,17143
Quận Hoàng Mai,Phường Thịnh Liệt,"Nhà ngõ, hẻm",Đã có sổ,4,4,9,7,80
Huyện Thanh Trì,Xã Thanh Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,4,9,4,7143
Quận Tây Hồ,Phường Yên Phụ,"Nhà ngõ, hẻm",Đã có sổ,4,2,6,4,11087
Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,2,2,12,4,4271
Quận Ba Đình,Phường Đội Cấn,"Nhà ngõ, hẻm",Đã có sổ,5,3,10,3,9722
Quận Hà Đông,Phường Phú La,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,10,5,68
Quận Thanh Xuân,Phường Thanh Xuân Bắc,"Nhà ngõ, hẻm",Đã có sổ,5,3,6,3,1119
Quận Hai Bà Trưng,Phường Quỳnh Lôi,"Nhà ngõ, hẻm",Đã có sổ,4,4,12,4,9778
Quận Cầu Giấy,Phường Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,7,4,13,4,8947
Quận Cầu Giấy,Phường Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,5,4,13,4,8947
Quận Thanh Xuân,Phường Thanh Xuân Nam,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6,11,3,13625
Quận Hà Đông,Phường Quang Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,9,4,7143
Quận Đống Đa,Phường Láng Thượng,"Nhà ngõ, hẻm",Đã có sổ,6,3,10,4.5,14667
Quận Hai Bà Trưng,Phường Bách Khoa,"Nhà ngõ, hẻm",Đã có sổ,5,3,12.5,3.2,8194
Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,4,6,16,4,7949
Quận Cầu Giấy,Phường Mai Dịch,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,11,4,7234
Quận Hai Bà Trưng,Phường Lê Đại Hành,"Nhà ngõ, hẻm",Đã có sổ,4,3,8.88,4.5,2375
Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,4,4,12,5,9583
Quận Cầu Giấy,Phường Yên Hoà,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6,10,3,11125
Quận Tây Hồ,Phường Tứ Liên,"Nhà ngõ, hẻm",Đã có sổ,4,4,12,6,863
Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,5,4,11,3,6216
Quận Đống Đa,Phường Quốc Tử Giám,"Nhà ngõ, hẻm",Đã có sổ,2,1,8,3.1,7917
Quận Hà Đông,Phường Phú La,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,11,4,66
Quận Hoàng Mai,Phường Thịnh Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,3,50,35,10606
Quận Đống Đa,Phường Kim Liên,"Nhà ngõ, hẻm",Đã có sổ,5,5,14,4,11455
Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,4,12,5,15833
Quận Hà Đông,Phường Văn Quán,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,10,3,13438
Quận Hà Đông,Phường Dương Nội,"Nhà ngõ, hẻm",Đã có sổ,3,3,12,3,4541
Quận Hai Bà Trưng,Phường Bách Khoa,"Nhà ngõ, hẻm",Đã có sổ,5,3,9,3,9688
Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,6,3,9,4.5,16571
Quận Đống Đa,Phường Kim Liên,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,15,3.5,78
Quận Cầu Giấy,Phường Yên Hoà,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,13.5,4,16273
Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,3,4,15,3,10377
Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,4,2,11,4,6889
Quận Đống Đa,Phường Nam Đồng,"Nhà ngõ, hẻm",Đã có sổ,3,3,12,6,5488
Quận Thanh Xuân,Phường Kim Giang,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,8,7,10984
Quận Cầu Giấy,Phường Nghĩa Đô,Nhà biệt thự,Đã có sổ,5,4,11,5,15536
Quận Hoàn Kiếm,Phường Hàng Đào,"Nhà mặt phố, mặt tiền",Đã có sổ,2,2,5.7,3.5,600
Quận Hai Bà Trưng,Phường Bạch Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,12,4.7,16939
Quận Ba Đình,Phường Vĩnh Phúc,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6,11,4,16889
Quận Hà Đông,Phường Phú Lương,"Nhà ngõ, hẻm",Đã có sổ,4,3,10,3.3,4848
Quận Đống Đa,Phường Trung Phụng,"Nhà ngõ, hẻm",Đã có sổ,3,3,12,4,5978
Huyện Hoài Đức,Xã La Phù,"Nhà ngõ, hẻm",Đã có sổ,3,3,8,4,425
Huyện Thanh Trì,Xã Vĩnh Quỳnh,"Nhà ngõ, hẻm",Đã có sổ,4,4,12,35,3936
Quận Ba Đình,Phường Đội Cấn,"Nhà ngõ, hẻm",Đã có sổ,5,4,10,3.3,100
Quận Thanh Xuân,Phường Thanh Xuân Bắc,"Nhà ngõ, hẻm",Đã có sổ,4,2,6,4,88
Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,3.7,9595
Quận Tây Hồ,Phường Thụy Khuê,"Nhà ngõ, hẻm",Đã có sổ,5,4,10,2,13036
Quận Bắc Từ Liêm,Phường Cổ Nhuế 1,"Nhà ngõ, hẻm",Đã có sổ,3,3,13,3,7273
Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,9.5,3.5,4848
Quận Hà Đông,Phường Phúc La,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6,9,5,13289
Quận Long Biên,Phường Ngọc Lâm,"Nhà mặt phố, mặt tiền",Đã có sổ,6,6,10,7.7,12857
Quận Cầu Giấy,Phường Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,5,3,9,3,14242
Quận Hà Đông,Phường Yên Nghĩa,"Nhà mặt phố, mặt tiền",Đã có sổ,2,3,11,36,3488
Quận Hà Đông,Phường Phú Lãm,"Nhà ngõ, hẻm",Đã có sổ,4,3,7,4,3333
Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,5,4,8.5,4.5,9625
Quận Hai Bà Trưng,Phường Vĩnh Tuy,"Nhà ngõ, hẻm",Đã có sổ,5,10,15,3,10667
Quận Ba Đình,Phường Cống Vị,"Nhà ngõ, hẻm",Đã có sổ,4,2,6,4,125
Quận Hà Đông,Phường Yên Nghĩa,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,9,4,3684
Huyện Thanh Trì,Xã Thanh Liệt,"Nhà ngõ, hẻm",Đã có sổ,4,3,8,4,7778
Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,9,5,12222
Quận Đống Đa,Phường Khâm Thiên,"Nhà ngõ, hẻm",Đã có sổ,5,4,8,4,8333
Quận Đống Đa,Phường Nam Đồng,"Nhà ngõ, hẻm",Đã có sổ,3,6,12,5,625
Huyện Thanh Trì,Thị trấn Văn Điển,"Nhà ngõ, hẻm",Đã có sổ,4,3,11,4,12091
Quận Ba Đình,Phường Kim Mã,"Nhà ngõ, hẻm",Đã có sổ,3,6,7,12,8471
Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,6,10,4,1625
Quận Đống Đa,Phường Ô Chợ Dừa,Nhà phố liền kề,Đã có sổ,5,6,9,5,14444
Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,3,3,15,4,8667
Quận Cầu Giấy,Phường Mai Dịch,"Nhà ngõ, hẻm",Đã có sổ,5,6,8,5,105
Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,4,4,9,4,100
Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,5,7,10,5,90
Quận Đống Đa,Phường Quang Trung,"Nhà ngõ, hẻm",Đã có sổ,5,4,9,5,9111
Quận Đống Đa,Phường Láng Hạ,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,9,5,13333
Quận Đống Đa,Phường Nam Đồng,"Nhà ngõ, hẻm",Đã có sổ,5,4,8,4,9857
Quận Đống Đa,Phường Phương Mai,"Nhà ngõ, hẻm",Đã có sổ,2,2,9,32,9423
Quận Hoàng Mai,Phường Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,5,3,8,4,70
Quận Tây Hồ,Phường Bưởi,"Nhà ngõ, hẻm",Đã có sổ,5,3,9,3.4,931
Quận Long Biên,Phường Cự Khối,"Nhà ngõ, hẻm",Đã có sổ,4,3,8,3,5833
Quận Hà Đông,Phường Hà Cầu,"Nhà mặt phố, mặt tiền",Đã có sổ,2,2,13,4,11154
Quận Hà Đông,Phường Yên Nghĩa,"Nhà mặt phố, mặt tiền",Đã có sổ,2,3,11,36,3537
Quận Long Biên,Phường Long Biên,"Nhà ngõ, hẻm",Đã có sổ,5,3,5,6,9167
Quận Long Biên,Phường Ngọc Lâm,"Nhà ngõ, hẻm",Đã có sổ,4,3,8,3,7375
Quận Hà Đông,Phường Vạn Phúc,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,4,9,9556
Quận Hai Bà Trưng,Phường Bạch Mai,"Nhà ngõ, hẻm",Đã có sổ,3,4,8,5,1025
Quận Hoàng Mai,Phường Yên Sở,"Nhà ngõ, hẻm",Đang chờ sổ,3,2,8,5,4125
Quận Cầu Giấy,Phường Nghĩa Đô,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,12,4,120
Huyện Thanh Trì,Xã Tân Triều,"Nhà ngõ, hẻm",Đã có sổ,4,4,13,3,5789
Quận Hoàng Mai,Phường Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,4,3,10,3,939
Quận Long Biên,Phường Ngọc Lâm,"Nhà mặt phố, mặt tiền",Đã có sổ,4,8,23,4,22018
Quận Hoàng Mai,Phường Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,4,4,11,3,163
Quận Hà Đông,Phường Văn Quán,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,8,4,8056
Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,5,5,10,5,9135
Quận Hai Bà Trưng,Phường Quỳnh Lôi,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,15,3,963
Quận Hoàng Mai,Phường Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,5,3,10,4,7125
Huyện Thanh Trì,Xã Thanh Liệt,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,4,70
Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,4,4,12,3,8372
Quận Hai Bà Trưng,Phường Quỳnh Lôi,"Nhà ngõ, hẻm",Đã có sổ,3,3,8,6,9231
Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,4,5,10,4,8158
Quận Cầu Giấy,Phường Dịch Vọng Hậu,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,9,5.6,68
Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,3,7581
Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,4,4,9,5,8222
Quận Hai Bà Trưng,Phường Vĩnh Tuy,"Nhà ngõ, hẻm",Đã có sổ,4,4,12,3.8,837
Quận Thanh Xuân,Phường Khương Đình,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,15,4,14667
Quận Hoàn Kiếm,Phường Hàng Bài,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,6,4,200
Quận Long Biên,Phường Cự Khối,"Nhà ngõ, hẻm",Đã có sổ,5,3,9.1,35,5938
Quận Hoàng Mai,Phường Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,5,2,94,35,8333
Quận Tây Hồ,Phường Xuân La,"Nhà ngõ, hẻm",Đã có sổ,5,6,13,3,1375
Huyện Đông Anh,Xã Nam Hồng,"Nhà mặt phố, mặt tiền",Đã có sổ,4,10,20,6,4595
Quận Long Biên,Phường Ngọc Thụy,"Nhà ngõ, hẻm",Đã có sổ,3,3,11,4,11591
Quận Thanh Xuân,Phường Thanh Xuân Nam,"Nhà ngõ, hẻm",Đã có sổ,4,2,8,3,70
Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,6,8,8,5,17667
Quận Thanh Xuân,Phường Nhân Chính,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,17,4,16825
Quận Hà Đông,Phường Yết Kiêu,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,10,5,84
Quận Thanh Xuân,Phường Thanh Xuân Nam,"Nhà ngõ, hẻm",Đã có sổ,5,6,10,4,6995
Quận Đống Đa,Phường Phương Liên,"Nhà ngõ, hẻm",Đã có sổ,4,3,7,6,8333
Quận Đống Đa,Phường Ngã Tư Sở,"Nhà ngõ, hẻm",Đã có sổ,3,3,9,3,40
Huyện Thanh Trì,Xã Thanh Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,4,8,4,7813
Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,4,4,16,3,110
Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,6,3,5,6,10333
Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,4,3,10,38,6229
Quận Hoàng Mai,Phường Giáp Bát,"Nhà ngõ, hẻm",Đã có sổ,5,5,4,4,8048
Quận Ba Đình,Phường Vĩnh Phúc,"Nhà ngõ, hẻm",Đã có sổ,5,4,9,4,10714
Quận Hà Đông,Phường Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,1,2,10,3,371
Quận Hai Bà Trưng,Phường Quỳnh Lôi,"Nhà mặt phố, mặt tiền",Đã có sổ,4,2,7,3,4652
Quận Cầu Giấy,Phường Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,7,6,15,4,23134
Quận Hà Đông,Phường Quang Trung,"Nhà ngõ, hẻm",Đã có sổ,4,4,5,7,8889
Huyện Thạch Thất,Xã Thạch Hoà,"Nhà mặt phố, mặt tiền",Đã có sổ,2,2,102,5,749
Quận Hà Đông,Phường Quang Trung,"Nhà ngõ, hẻm",Đã có sổ,2,2,11,3,619
Quận Hai Bà Trưng,Phường Thanh Nhàn,"Nhà ngõ, hẻm",Đã có sổ,2,2,10,3,5667
Quận Thanh Xuân,Phường Thanh Xuân Bắc,"Nhà ngõ, hẻm",Đã có sổ,4,4,15,4,8852
Quận Hà Đông,Phường Nguyễn Trãi,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,8.17,3.3,19259
Quận Thanh Xuân,Phường Thanh Xuân Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,6,4,8,4,13333
Quận Cầu Giấy,Phường Mai Dịch,"Nhà ngõ, hẻm",Đã có sổ,7,10,18,5,12386
Quận Thanh Xuân,Phường Thanh Xuân Nam,"Nhà mặt phố, mặt tiền",Đã có sổ,4,2,8,33,72
Quận Hoàng Mai,Phường Tân Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,4,5,20,3,8462
Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,6,10,5,70,7429
Huyện Đan Phượng,Xã Tân Lập,"Nhà ngõ, hẻm",Đã có sổ,4,4,10,3.6,50
Quận Nam Từ Liêm,Phường Đại Mỗ,Nhà biệt thự,Đã có sổ,4,7,10,15,712
Quận Hai Bà Trưng,Phường Bạch Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,4,5,10,3,150
Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,4,4,7,6,9111
Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,4,9,5,12979
Quận Bắc Từ Liêm,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,5,4,10,4,5556
Quận Hà Đông,Phường Mộ Lao,"Nhà ngõ, hẻm",Đã có sổ,1,1,8,6,58
Quận Cầu Giấy,Phường Dịch Vọng Hậu,"Nhà ngõ, hẻm",Đã có sổ,5,5,12,3,90
Quận Cầu Giấy,Phường Mai Dịch,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,13,4,25455
